iter	Passed	Remaining
0	72	2110
1	135	1902
2	197	1781
3	260	1691
4	355	1775
5	471	1884
6	536	1762
7	601	1655
8	666	1555
9	731	1463
10	796	1375
11	860	1290
12	926	1211
13	990	1131
14	1054	1054
15	1118	978
16	1182	903
17	1245	830
18	1307	756
19	1369	684
20	1431	613
21	1494	543
22	1559	474
23	1623	405
24	1689	337
25	1754	269
26	1818	202
27	1880	134
28	1941	66
29	2003	0
