iter	Logloss
0	0.6231740416
1	0.5660622652
2	0.5165144857
3	0.4731878095
4	0.4360517658
5	0.4048669967
6	0.3779698173
7	0.3529803433
8	0.3318843187
9	0.3122085121
10	0.2949151178
11	0.27869787
12	0.265042878
13	0.2518548084
14	0.2401589049
15	0.2299067996
16	0.2188303563
17	0.2092662307
18	0.2013946533
19	0.1941725501
20	0.1873766523
21	0.1815566566
22	0.1758589881
23	0.1699614645
24	0.1639530169
25	0.1588702893
26	0.1540964295
27	0.1499671344
28	0.1465204424
29	0.1426318259
